" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    82,    34,  1.99610e-01,  2.44562e-02, -3.48169e-01, -4.87583e-03, -3.46237e-02, -3.62909e-03,
    83,    36, -4.84565e-02,  3.10503e-01,  1.11402e-01,  2.52923e-03, -1.37605e-02,  4.66608e-02,
    83,    35,  4.84565e-02, -3.10503e-01, -1.11402e-01, -2.52923e-03, -8.78315e-03,  1.57823e-02,
    84,    35,  5.05726e-02,  6.77475e-02,  4.37993e-02, -5.60410e-03, -1.29211e-04,  5.93938e-04,
    84,    34, -5.05726e-02, -6.77475e-02, -4.37993e-02,  5.60410e-03, -8.64008e-03,  1.29687e-02,
    85,    37, -1.87664e-01, -2.55172e-02,  3.13218e-02, -1.07328e-03, -4.28027e-03, -4.03698e-03,
    85,    38,  1.87664e-01,  2.55172e-02, -3.13218e-02,  1.07328e-03, -1.94796e-03, -1.08305e-03,
    86,    37,  9.54858e-02, -1.04355e-02, -9.63907e-02,  7.35201e-03,  5.03355e-03, -3.61588e-04,
    86,    36, -9.54858e-02,  1.04355e-02,  9.63907e-02, -7.35201e-03,  1.47429e-02, -9.82052e-04,
    87,    37,  8.67616e-02,  7.09311e-02, -5.26240e-02, -1.09656e-03,  1.48605e-03,  2.38003e-03,
    87,    41, -8.67616e-02, -7.09311e-02,  5.26240e-02,  1.09656e-03,  8.21582e-03,  1.18121e-02,
    88,    37, -5.04567e-03, -3.82635e-02,  5.38549e-03, -1.04460e-03, -1.08026e-03, -5.68852e-03,
    88,    40,  5.04567e-03,  3.82635e-02, -5.38549e-03,  1.04460e-03,      0.0,  -1.96252e-03,
    89,    38,  4.06946e-01, -2.77803e-01, -6.96465e-02,  2.62714e-03,  4.25976e-03, -1.77566e-02,
    89,    36, -4.06946e-01,  2.77803e-01,  6.96465e-02, -2.62714e-03,  1.19357e-02, -4.08569e-02,
    90,    38,  4.17282e-01,  1.15272e-01, -1.39201e-01,  3.80123e-04,  9.69116e-03,  8.30627e-03,
    90,    41, -4.17282e-01, -1.15272e-01,  1.39201e-01, -3.80123e-04,  1.42729e-02,  1.47832e-02,
    91,    38, -1.03279e-01,  3.49659e-02, -6.44524e-02, -8.97503e-04,  6.72319e-03,  2.79971e-03,
    91,    39,  1.03279e-01, -3.49659e-02,  6.44524e-02,  8.97503e-04,  7.28309e-03,  4.20270e-03,
    92,    36, -1.87035e-01, -2.42708e-01,  1.95474e-01,  2.34984e-03, -2.56392e-02, -3.44449e-02,
    92,    40,  1.87035e-01,  2.42708e-01, -1.95474e-01, -2.34984e-03, -1.17142e-02, -1.41068e-02,
    93,    36,  7.95716e-01, -2.23974e-01,  1.12240e-01, -3.66950e-03, -2.22314e-02, -3.31664e-02,
    93,    39, -7.95716e-01,  2.23974e-01, -1.12240e-01,  3.66950e-03, -7.74581e-03, -1.15480e-02,
    94,    41,  4.93280e-02,      0.0,   8.71077e-02,  1.79579e-03, -1.00902e-02,  1.46986e-04,
    94,    39, -4.93280e-02,      0.0,  -8.71077e-02, -1.79579e-03, -7.06978e-03,  2.30303e-04,
    95,    41, -2.36860e-01,  1.55163e-01,  1.88827e-02,  3.49967e-04, -3.82703e-03,  2.01479e-02,
    95,    40,  2.36860e-01, -1.55163e-01, -1.88827e-02, -3.49967e-04, -1.26912e-03,  1.26620e-02,
    96,    40, -1.00738e-01,  8.01816e-02,  1.19698e-02, -8.50843e-04, -1.51533e-03,  7.36228e-03,
    96,    39,  1.00738e-01, -8.01816e-02, -1.19698e-02,  8.50843e-04, -8.59384e-04,  8.66231e-03,
    97,    42, -1.39010e-01, -1.52172e-02,  2.00742e-02, -3.52958e-04, -2.52547e-03, -2.22091e-03,
    97,    43,  1.39010e-01,  1.52172e-02, -2.00742e-02,  3.52958e-04, -1.46530e-03, -8.23851e-04,
    98,    42,  7.62979e-02, -3.26855e-03, -6.41058e-02,  2.84294e-03,  3.51117e-03,      0.0, 
    98,    41, -7.62979e-02,  3.26855e-03,  6.41058e-02, -2.84294e-03,  9.71266e-03,      0.0, 
    99,    42,  7.10807e-02,  5.01506e-02, -3.91976e-02, -4.95828e-04,  1.51620e-03,  2.12346e-03,
    99,    46, -7.10807e-02, -5.01506e-02,  3.91976e-02,  4.95828e-04,  5.64528e-03,  7.90606e-03,
   100,    42, -8.68777e-03, -2.50750e-02,  1.61348e-03, -3.53190e-04, -3.83662e-04, -3.34433e-03,
   100,    45,  8.68777e-03,  2.50750e-02, -1.61348e-03,  3.53190e-04,  1.55695e-04, -1.66877e-03,
   101,    43,  2.86564e-01, -1.30233e-01, -1.53992e-02,  6.20616e-04,  1.37126e-03, -8.79856e-03,
   101,    41, -2.86564e-01,  1.30233e-01,  1.53992e-02, -6.20616e-04,  3.31152e-03, -1.94305e-02,
   102,    43,  2.73910e-01,  7.12585e-02, -7.42104e-02,  5.97953e-04,  4.68108e-03,  4.93402e-03,
   102,    46, -2.73910e-01, -7.12585e-02,  7.42104e-02, -5.97953e-04,  7.59670e-03,  9.31903e-03,
   103,    43, -1.39034e-01,  2.52873e-02, -2.99345e-02, -6.26558e-04,  3.10949e-03,  1.68800e-03,
   103,    44,  1.39034e-01, -2.52873e-02,  2.99345e-02,  6.26558e-04,  4.39172e-03,  3.38682e-03,
   104,    41, -1.27004e-01, -1.00969e-01,  1.07104e-01,  5.99667e-04, -1.38828e-02, -1.39855e-02,
   104,    45,  1.27004e-01,  1.00969e-01, -1.07104e-01, -5.99667e-04, -6.34687e-03, -6.20685e-03,
   105,    41,  1.20759e-01, -7.12112e-02,  4.33711e-02, -2.30663e-03, -8.35602e-03, -1.20028e-02,
   105,    44, -1.20759e-01,  7.12112e-02, -4.33711e-02,  2.30663e-03, -1.46679e-03, -2.23569e-03,
   106,    46, -9.06038e-02,  2.91678e-03,  3.99713e-02,  9.78391e-04, -4.98375e-03,      0.0, 
   106,    44,  9.06038e-02, -2.91678e-03, -3.99713e-02, -9.78391e-04, -3.48977e-03,      0.0, 
   107,    46, -1.36489e-01,  8.60585e-02,  1.92900e-02,  5.81124e-04, -3.27880e-03,  1.15783e-02,
   107,    45,  1.36489e-01, -8.60585e-02, -1.92900e-02, -5.81124e-04, -1.34230e-03,  6.67222e-03,
   108,    45, -1.01598e-02,  4.50020e-02,  6.36166e-04, -6.38616e-04, -3.97007e-04,  3.50419e-03,
   108,    44,  1.01598e-02, -4.50020e-02, -6.36166e-04,  6.38616e-04,  2.71507e-04,  5.49472e-03,
   109,    47, -2.51334e-02, -9.10766e-03,  9.41890e-03, -2.63498e-04, -1.24008e-03, -1.32420e-03,
   109,    48,  2.51334e-02,  9.10766e-03, -9.41890e-03,  2.63498e-04, -6.39280e-04, -4.96092e-04,
   110,    47, -5.59308e-03,  4.71256e-04, -3.12079e-02,  1.86037e-03,  1.64324e-03,      0.0, 
   110,    46,  5.59308e-03, -4.71256e-04,  3.12079e-02, -1.86037e-03,  4.56760e-03,      0.0, 
   111,    47, -7.83744e-03,  2.64411e-02, -1.81341e-02, -2.48053e-04,  7.30846e-04,  1.03889e-03,
   111,    51,  7.83744e-03, -2.64411e-02,  1.81341e-02,  2.48053e-04,  2.97034e-03,  4.24883e-03,
   112,    47,  3.85089e-02, -1.28816e-02, -2.46871e-04, -2.64371e-04, -3.46154e-04, -1.77395e-03,
   112,    50, -3.85089e-02,  1.28816e-02,  2.46871e-04,  2.64371e-04,      0.0,  -8.08011e-04,
   113,    48,  1.00612e-01, -7.70504e-02, -1.81322e-02,  5.55020e-04,  1.17570e-03, -4.98849e-03,
   113,    46, -1.00612e-01,  7.70504e-02,  1.81322e-02, -5.55020e-04,  3.01502e-03, -1.11932e-02,
   114,    48,  9.54479e-02,  3.88977e-02, -3.73636e-02,  2.90050e-04,  2.59485e-03,  2.69653e-03,
   114,    51, -9.54479e-02, -3.88977e-02,  3.73636e-02, -2.90050e-04,  3.98007e-03,  5.07816e-03,
   115,    48, -1.44566e-02,  1.35060e-02, -2.26814e-02, -3.97759e-04,  2.02705e-03,  9.54846e-04,
   115,    49,  1.44566e-02, -1.35060e-02,  2.26814e-02,  3.97759e-04,  2.66674e-03,  1.74821e-03,
   116,    46, -1.07785e-01, -6.34883e-02,  5.93297e-02,  5.67729e-04, -7.43698e-03, -8.87194e-03,
   116,    50,  1.07785e-01,  6.34883e-02, -5.93297e-02, -5.67729e-04, -3.41458e-03, -3.81968e-03,
   117,    46,  1.54502e-01, -4.83006e-02,  2.75652e-02, -1.16251e-03, -5.63876e-03, -7.86352e-03,
   117,    49, -1.54502e-01,  4.83006e-02, -2.75652e-02,  1.16251e-03, -1.35030e-03, -1.80106e-03,
   118,    51,  1.16918e-02,      0.0,   2.38757e-02,  5.09163e-04, -2.62943e-03,      0.0, 
   118,    49, -1.16918e-02,      0.0,  -2.38757e-02, -5.09163e-04, -2.08269e-03,      0.0, 
   119,    51, -1.14259e-01,  4.47920e-02,  9.27769e-03,  3.02062e-04, -1.80715e-03,  6.17364e-03,
   119,    50,  1.14259e-01, -4.47920e-02, -9.27769e-03, -3.02062e-04, -6.89548e-04,  3.66236e-03,
   120,    50,  2.73223e-02,  2.70920e-02,  2.69348e-03, -3.86338e-04, -4.01360e-04,  2.20248e-03,
   120,    49, -2.73223e-02, -2.70920e-02, -2.69348e-03,  3.86338e-04, -1.41750e-04,  3.21405e-03,
   121,    52, -1.98288e-02, -5.23195e-03,  5.11401e-03, -1.57474e-04, -6.41349e-04, -7.42418e-04,
   121,    53,  1.98288e-02,  5.23195e-03, -5.11401e-03,  1.57474e-04, -3.78068e-04, -3.02497e-04,
   122,    52,  3.02783e-03, -2.91881e-04, -1.64548e-02,  1.01333e-03,  9.14213e-04,      0.0, 
   122,    51, -3.02783e-03,  2.91881e-04,  1.64548e-02, -1.01333e-03,  2.39243e-03,      0.0, 
   123,    52,  1.53891e-03,  1.49291e-02, -1.07894e-02,      0.0,   4.26829e-04,  5.97353e-04,
   123,    56, -1.53891e-03, -1.49291e-02,  1.07894e-02,      0.0,   1.71598e-03,  2.38791e-03,
   124,    52,  1.51290e-02, -7.16473e-03,  6.07217e-04, -1.57315e-04, -2.50378e-04, -9.52591e-04,
   124,    55, -1.51290e-02,  7.16473e-03, -6.07217e-04,  1.57315e-04,      0.0,  -4.82732e-04,
   125,    53,  6.28445e-02, -4.09122e-02, -1.03124e-02,  3.16831e-04,  7.09895e-04, -2.66135e-03,
   125,    51, -6.28445e-02,  4.09122e-02,  1.03124e-02, -3.16831e-04,  1.70573e-03, -6.00539e-03,
   126,    53,  5.78732e-02,  2.15643e-02, -1.72541e-02,  2.46865e-04,  1.20564e-03,  1.47889e-03,
   126,    56, -5.78732e-02, -2.15643e-02,  1.72541e-02, -2.46865e-04,  1.69976e-03,  2.82948e-03,
   127,    53, -1.75519e-02,  8.69035e-03, -1.49986e-02, -2.81754e-04,  1.31705e-03,  5.74182e-04,
   127,    54,  1.75519e-02, -8.69035e-03,  1.49986e-02,  2.81754e-04,  1.87469e-03,  1.16663e-03,
   128,    51, -5.46078e-02, -3.51157e-02,  3.07649e-02,  3.06766e-04, -3.89056e-03, -4.89366e-03,
   128,    55,  5.46078e-02,  3.51157e-02, -3.07649e-02, -3.06766e-04, -1.74734e-03, -2.12479e-03,
   129,    51, -1.36306e-02, -2.34771e-02,  1.66730e-02, -6.46581e-04, -2.85341e-03, -4.11872e-03,
   129,    54,  1.36306e-02,  2.34771e-02, -1.66730e-02,  6.46581e-04, -3.50127e-04, -5.75096e-04,
   130,    56, -2.02661e-02,  3.73285e-04,  9.18835e-03,  1.93215e-04, -9.13248e-04,      0.0, 
   130,    54,  2.02661e-02, -3.73285e-04, -9.18835e-03, -1.93215e-04, -1.03241e-03,      0.0, 
   131,    56, -5.63932e-02,  2.21937e-02,  7.84880e-03,  2.37669e-04, -1.36343e-03,  3.02649e-03,
   131,    55,  5.63932e-02, -2.21937e-02, -7.84880e-03, -2.37669e-04, -5.23262e-04,  1.84728e-03,
   132,    55,  1.23776e-02,  1.79067e-02,  1.95479e-03, -2.89862e-04, -2.84740e-04,  1.40257e-03,
   132,    54, -1.23776e-02, -1.79067e-02, -1.95479e-03,  2.89862e-04, -1.08177e-04,  2.17742e-03,
   133,    57,  2.14699e-03, -2.57302e-03,  1.69157e-03, -1.05783e-04, -2.12799e-04, -3.69495e-04,
   133,    58, -2.14699e-03,  2.57302e-03, -1.69157e-03,  1.05783e-04, -1.25819e-04, -1.45208e-04,
   134,    57, -8.10936e-03,  4.47913e-04, -5.67831e-03,  5.82303e-04,  3.25171e-04,      0.0, 
   134,    56,  8.10936e-03, -4.47913e-04,  5.67831e-03, -5.82303e-04,  7.66968e-04,      0.0, 
   135,    57, -8.45815e-03,  6.00077e-03, -3.67927e-03,      0.0,   1.36512e-04,  2.01048e-04,
   135,    61,  8.45815e-03, -6.00077e-03,  3.67927e-03,      0.0,   6.80342e-04,  9.99619e-04,
   136,    57,  1.43926e-02, -2.85125e-03,  2.35262e-04, -1.05888e-04, -1.66201e-04, -3.86385e-04,
   136,    60, -1.43926e-02,  2.85125e-03, -2.35262e-04,  1.05888e-04,      0.0,  -1.86405e-04,
   137,    58,  1.51055e-02, -2.00406e-02, -8.65743e-03,  2.28582e-04,  5.27425e-04, -1.22654e-03,
   137,    56, -1.51055e-02,  2.00406e-02,  8.65743e-03, -2.28582e-04,  1.28888e-03, -2.89792e-03,
   138,    58,  1.31296e-02,  9.36468e-03, -4.63653e-03,  1.27580e-04,  4.26836e-04,  6.48652e-04,
   138,    61, -1.31296e-02, -9.36468e-03,  4.63653e-03, -1.27580e-04,  3.76593e-04,  1.22292e-03,
   139,    58,  5.97344e-03,  4.25575e-03, -1.01923e-02, -1.81404e-04,  8.33651e-04,  2.87841e-04,
   139,    59, -5.97344e-03, -4.25575e-03,  1.01923e-02,  1.81404e-04,  1.13893e-03,  5.62091e-04,
   140,    56, -3.03414e-02, -1.91708e-02,  1.32224e-02,  2.36937e-04, -1.64658e-03, -2.69867e-03,
   140,    60,  3.03414e-02,  1.91708e-02, -1.32224e-02, -2.36937e-04, -7.11557e-04, -1.13241e-03,
   141,    56,  1.23110e-02, -1.27445e-02,  8.92552e-03, -2.68665e-04, -1.65665e-03, -2.27159e-03,
   141,    59, -1.23110e-02,  1.27445e-02, -8.92552e-03,  2.68665e-04, -2.46246e-04, -2.77934e-04,
   142,    61,  9.38214e-03,      0.0,   2.98879e-03,      0.0,       0.0,       0.0, 
   142,    59, -9.38214e-03,      0.0,  -2.98879e-03,      0.0,  -4.75709e-04,      0.0, 
   143,    61, -3.08874e-02,  7.44204e-03,  4.24116e-03,  1.35862e-04, -7.49600e-04,  1.01080e-03,
   143,    60,  3.08874e-02, -7.44204e-03, -4.24116e-03, -1.35862e-04, -2.72467e-04,  7.16523e-04,
   144,    60,  1.04387e-02,  1.06515e-02,  2.33892e-03, -1.74216e-04, -2.51851e-04,  8.50822e-04,
   144,    59, -1.04387e-02, -1.06515e-02, -2.33892e-03,  1.74216e-04, -2.17588e-04,  1.27830e-03,
   145,    62,  4.90447e-04, -3.70165e-04,  4.35445e-04,      0.0,       0.0,       0.0, 
   145,    63, -4.90447e-04,  3.70165e-04, -4.35445e-04,      0.0,       0.0,       0.0, 
   146,    62,      0.0,   -1.62182e-04, -1.32695e-04,  2.62871e-04,      0.0,       0.0, 
   146,    61,      0.0,    1.62182e-04,  1.32695e-04, -2.62871e-04,      0.0,       0.0, 
   147,    62,      0.0,   -2.63787e-04,  2.47624e-04,      0.0,       0.0,       0.0, 
   147,    66,      0.0,    2.63787e-04, -2.47624e-04,      0.0,       0.0,       0.0, 
   148,    62, -9.26383e-04, -5.28458e-04,  1.37162e-04,      0.0,       0.0,       0.0, 
   148,    65,  9.26383e-04,  5.28458e-04, -1.37162e-04,      0.0,       0.0,       0.0, 
   149,    63,  4.08586e-03, -6.67700e-03, -5.33993e-03,  1.42944e-04,  3.59198e-04, -3.91570e-04,
   149,    61, -4.08586e-03,  6.67700e-03,  5.33993e-03, -1.42944e-04,  7.31657e-04, -9.75285e-04,
   150,    63,  1.66614e-03,  8.47198e-04, -4.06431e-04,      0.0,       0.0,       0.0, 
   150,    66, -1.66614e-03, -8.47198e-04,  4.06431e-04,      0.0,       0.0,       0.0, 
   151,    63,  4.89492e-03,  3.07008e-03, -5.90271e-03, -1.04160e-04,  4.28572e-04,  1.96241e-04,
   151,    64, -4.89492e-03, -3.07008e-03,  5.90271e-03,  1.04160e-04,  6.98038e-04,  4.16758e-04,
   152,    61, -3.03362e-03, -8.55038e-03,  2.42318e-03,  1.36420e-04, -3.53727e-04, -1.18490e-03,
   152,    65,  3.03362e-03,  8.55038e-03, -2.42318e-03, -1.36420e-04, -1.02240e-04, -5.24648e-04,
   153,    61, -1.60199e-02, -3.63727e-03,  2.89300e-03,      0.0,  -5.61805e-04, -8.57419e-04,
   153,    64,  1.60199e-02,  3.63727e-03, -2.89300e-03,      0.0,   1.36992e-04,  1.31497e-04,
   154,    66,      0.0,   -1.49313e-04,  1.63197e-03, -1.64422e-04,      0.0,       0.0, 
   154,    64,      0.0,    1.49313e-04, -1.63197e-03,  1.64422e-04, -2.72931e-04,      0.0, 
   155,    66, -1.69390e-03,  7.37886e-04,  4.21402e-04,      0.0,       0.0,       0.0, 
   155,    65,  1.69390e-03, -7.37886e-04, -4.21402e-04,      0.0,       0.0,   1.19572e-04,
   156,    65, -5.64051e-03,  6.24917e-03,  6.06197e-04, -1.10568e-04,      0.0,   4.60746e-04,
   156,    64,  5.64051e-03, -6.24917e-03, -6.06197e-04,  1.10568e-04,      0.0,   7.89401e-04,
   157,     4,  1.08678e-01, -1.58382e-01, -1.09561e-01, -1.00780e-01,  1.98708e-02, -2.85880e-02,
   157,    67, -1.08678e-01,  1.58382e-01,  1.09561e-01,  1.00780e-01,  2.05648e-03, -3.10958e-03,
   158,     4, -3.58122e+00,  2.96306e+00, -2.31410e+00, -5.46305e-02,  3.16161e-01,  3.96079e-01,
   158,    68,  3.58122e+00, -2.96306e+00,  2.31410e+00,  5.46305e-02,  1.35626e-01,  1.82424e-01,
   159,     4,  4.07836e+00, -1.70874e-01,  3.56116e+00, -5.45415e-02, -5.04642e-01, -2.96158e-02,
   159,    71, -4.07836e+00,  1.70874e-01, -3.56116e+00,  5.45415e-02, -2.27727e-01, -5.52881e-03,
   160,     4,  7.26777e-01, -1.67882e-03,  2.10457e+00,  9.25743e-04, -4.50440e-01, -2.38136e-04,
   160,    70, -7.26777e-01,  1.67882e-03, -2.10457e+00, -9.25743e-04,  2.53530e-02,      0.0, 
   161,    67,  5.38180e-01, -4.86496e-01, -5.96103e-01,  2.08369e-02,  6.83649e-02, -6.00046e-02,
   161,    68, -5.38180e-01,  4.86496e-01,  5.96103e-01, -2.08369e-02,  5.23277e-02, -3.96096e-02,
   162,    67, -7.56320e-01,  2.05513e-01,  7.75150e-01,  2.08595e-02, -8.85510e-02,  2.12898e-02,
   162,    71,  7.56320e-01, -2.05513e-01, -7.75150e-01, -2.08595e-02, -6.25734e-02,  1.99872e-02,
   163,    67,  8.35753e-02, -1.20138e-04, -1.81556e+00, -6.94828e-04,  7.33677e-02,      0.0, 
   163,    69, -8.35753e-02,  1.20138e-04,  1.81556e+00,  6.94828e-04,  2.89203e-01,      0.0, 
   164,    68, -4.84203e-01, -6.69200e-01, -2.18988e+00,  4.14344e-02,  1.56268e-01, -6.93978e-02,
   164,    70,  4.84203e-01,  6.69200e-01,  2.18988e+00, -4.14344e-02,  2.84128e-01, -6.43064e-02,
   165,    68, -3.07528e+00, -2.40320e-01, -1.97494e+00, -2.89981e-02,  1.30631e-01, -4.06493e-02,
   165,    69,  3.07528e+00,  2.40320e-01,  1.97494e+00,  2.89981e-02,  2.79565e-01, -6.67390e-03,
   166,    71,  3.30988e+00, -1.87533e+00,  1.04083e+00, -2.89311e-02, -4.24126e-02, -1.30353e-01,
   166,    69, -3.30988e+00,  1.87533e+00, -1.04083e+00,  2.89311e-02, -1.55591e-01, -2.31695e-01,
   167,    71, -2.11619e-02,  1.41214e+00,  1.81896e+00,  4.14452e-02, -1.47126e-01,  8.76128e-02,
   167,    70,  2.11619e-02, -1.41214e+00, -1.81896e+00, -4.14452e-02, -2.16668e-01,  1.94864e-01,
   168,    70,  1.28076e-01, -1.59512e-01, -1.11884e-01, -6.79792e-04,  2.14127e-02, -3.03579e-02,
   168,    69, -1.28076e-01,  1.59512e-01,  1.11884e-01,  6.79792e-04,  9.82266e-04, -1.57021e-03,
   169,     9, -1.84990e-01,      0.0,       0.0,       0.0,   1.64170e-02, -2.32533e-02,
   169,    70,  1.84990e-01,      0.0,       0.0,       0.0,  -1.64170e-02,  2.32533e-02,
   170,     9, -8.19001e-01,  1.10392e+00, -1.20644e+00, -3.18284e-02,  1.60485e-01,  1.46614e-01,
   170,    72,  8.19001e-01, -1.10392e+00,  1.20644e+00,  3.18284e-02,  7.76969e-02,  6.97943e-02,
   171,     9,  9.43339e-01, -3.48112e-01,  1.54077e+00, -3.18201e-02, -2.12303e-01, -4.64202e-02,
   171,    75, -9.43339e-01,  3.48112e-01, -1.54077e+00,  3.18201e-02, -1.01931e-01, -2.31917e-02,
   172,     9,  4.68753e-01, -2.95982e-04,  3.55276e-01, -7.07024e-03, -1.58700e-01,      0.0, 
   172,    74, -4.68753e-01,  2.95982e-04, -3.55276e-01,  7.07024e-03,  8.41410e-02,      0.0, 
   173,    70, -8.19001e-01, -1.10392e+00, -1.20644e+00,  3.18284e-02,  1.60485e-01, -1.46614e-01,
   173,    72,  8.19001e-01,  1.10392e+00,  1.20644e+00, -3.18284e-02,  7.76969e-02, -6.97943e-02,
   174,    70,  9.43339e-01,  3.48112e-01,  1.54077e+00,  3.18201e-02, -2.12303e-01,  4.64202e-02,
   174,    75, -9.43339e-01, -3.48112e-01, -1.54077e+00, -3.18201e-02, -1.01931e-01,  2.31917e-02,
   175,    70,  4.68753e-01,  2.95982e-04,  3.55276e-01,  7.07024e-03, -1.58700e-01,      0.0, 
   175,    73, -4.68753e-01, -2.95982e-04, -3.55276e-01, -7.07024e-03,  8.41410e-02,      0.0, 
   176,    72, -1.32830e+00, -1.23575e-01, -1.36525e+00,  2.23108e-02,  9.63504e-02, -8.23898e-03,
   176,    74,  1.32830e+00,  1.23575e-01,  1.36525e+00, -2.23108e-02,  1.85283e-01, -1.64721e-02,
   177,    72, -1.32830e+00,  1.23575e-01, -1.36525e+00, -2.23108e-02,  9.63504e-02,  8.23898e-03,
   177,    73,  1.32830e+00, -1.23575e-01,  1.36525e+00,  2.23108e-02,  1.85283e-01,  1.64721e-02,
   178,    75,  1.22463e+00, -1.11091e+00,  9.36818e-01, -2.23035e-02, -6.24043e-02, -7.39836e-02,
   178,    73, -1.22463e+00,  1.11091e+00, -9.36818e-01,  2.23035e-02, -1.20340e-01, -1.41672e-01,
   179,    75,  1.22463e+00,  1.11091e+00,  9.36818e-01,  2.23035e-02, -6.24043e-02,  7.39836e-02,
   179,    74, -1.22463e+00, -1.11091e+00, -9.36818e-01, -2.23035e-02, -1.20340e-01,  1.41672e-01,
   180,    74,  1.52499e-01,      0.0,       0.0,       0.0,   5.82371e-03, -8.22218e-03,
   180,    73, -1.52499e-01,      0.0,       0.0,       0.0,  -5.82371e-03,  8.22218e-03,
   181,    14, -3.05206e-02, -1.93553e-01, -1.37250e-01,  6.98903e-03,  2.32684e-02, -3.28670e-02,
   181,    74,  3.05206e-02,  1.93553e-01,  1.37250e-01, -6.98903e-03,  4.17937e-03, -5.84047e-03,
   182,    14, -4.24469e-01,  5.90777e-01, -7.56203e-01, -2.06778e-02,  1.01478e-01,  7.69862e-02,
   182,    76,  4.24469e-01, -5.90777e-01,  7.56203e-01,  2.06778e-02,  4.79278e-02,  3.85267e-02,
   183,    14,  3.53027e-01, -2.76802e-01,  8.89781e-01, -2.06781e-02, -1.21433e-01, -3.84125e-02,
   183,    79, -3.53027e-01,  2.76802e-01, -8.89781e-01,  2.06781e-02, -5.91490e-02, -1.69097e-02,
   184,    14,  1.74412e-01,      0.0,   3.59159e-02, -7.34256e-03, -8.18957e-02,      0.0, 
   184,    78, -1.74412e-01,      0.0,  -3.59159e-02,  7.34256e-03,  7.32064e-02,      0.0, 
   185,    74, -7.26222e-01, -9.17831e-01, -8.06001e-01,  2.02729e-02,  1.05477e-01, -1.22258e-01,
   185,    76,  7.26222e-01,  9.17831e-01,  8.06001e-01, -2.02729e-02,  5.25229e-02, -5.68958e-02,
   186,    74,  9.88647e-01,  1.27647e-01,  1.15098e+00,  2.02663e-02, -1.60679e-01,  1.55597e-02,
   186,    79, -9.88647e-01, -1.27647e-01, -1.15098e+00, -2.02663e-02, -7.68510e-02,  1.00495e-02,
   187,    74,  4.05099e-01,  1.25164e-04,  3.51062e-01, -4.29380e-04, -1.21656e-01,      0.0, 
   187,    77, -4.05099e-01, -1.25164e-04, -3.51062e-01,  4.29380e-04,  4.79532e-02,      0.0, 
   188,    76, -1.06635e+00, -4.04786e-02, -9.53983e-01,  1.56635e-02,  6.81885e-02, -1.03615e-03,
   188,    78,  1.06635e+00,  4.04786e-02,  9.53983e-01, -1.56635e-02,  1.30528e-01, -7.14841e-03,
   189,    76, -6.88282e-01,  1.44586e-01, -8.87482e-01, -1.51232e-02,  6.18510e-02,  1.13110e-02,
   189,    77,  6.88282e-01, -1.44586e-01,  8.87482e-01,  1.51232e-02,  1.20790e-01,  1.75437e-02,
   190,    79,  4.36890e-01, -6.75936e-01,  6.54538e-01, -1.51235e-02, -4.49760e-02, -4.39970e-02,
   190,    77, -4.36890e-01,  6.75936e-01, -6.54538e-01,  1.51235e-02, -8.40467e-02, -8.84680e-02,
   191,    79,  1.15267e+00,  8.22525e-01,  6.32199e-01,  1.56560e-02, -4.02363e-02,  5.51260e-02,
   191,    78, -1.15267e+00, -8.22525e-01, -6.32199e-01, -1.56560e-02, -8.11442e-02,  1.02395e-01,
   192,    78,  6.22486e-02,  5.23590e-02,  3.68410e-02,  1.39475e-03,  6.79979e-04, -9.29640e-04,
   192,    77, -6.22486e-02, -5.23590e-02, -3.68410e-02, -1.39475e-03, -8.05078e-03,  1.14051e-02,
   193,    19,  6.83202e-03, -1.93109e-01, -1.36745e-01,  7.35023e-03,  2.06583e-02, -2.91945e-02,
   193,    78, -6.83202e-03,  1.93109e-01,  1.36745e-01, -7.35023e-03,  6.68601e-03, -9.42050e-03,
   194,    19, -1.36615e-01,  3.40396e-01, -5.17219e-01, -1.43718e-02,  6.98608e-02,  4.44242e-02,
   194,    80,  1.36615e-01, -3.40396e-01,  5.17219e-01,  1.43718e-02,  3.29322e-02,  2.27163e-02,
   195,    19,  8.32101e-02, -2.26008e-01,  5.67564e-01, -1.43719e-02, -7.66122e-02, -3.13997e-02,
   195,    83, -8.32101e-02,  2.26008e-01, -5.67564e-01,  1.43719e-02, -3.75685e-02, -1.37845e-02,
   196,    19,  9.48899e-02, -1.00149e-04, -5.73494e-02, -6.13254e-03, -4.77608e-02,      0.0, 
